RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0.43099,0.369748,0.77951,0.320463,0.645688,0.363636,0.53958,0,0,'build wind float'
0.333333,0.237395,0.783964,0.409266,0.613054,0.323864,0.500808,0,0,'vehic wind float'
0.43099,0.457983,0.775056,0.432432,0.554779,0.335227,0.484653,0,0,'build wind float'
0.109375,0.707983,0.387528,0.482625,1,0,0.34895,0,0,tableware
0.341146,0.361345,0.634744,0.444015,0.701632,0.323864,0.542811,0.038194,0.594595,'build wind non-float'
0.421875,0.548319,0.812918,0.138996,0.638695,0.034091,0.565428,0,0,'vehic wind float'
0.459635,0.443277,0.632517,0.382239,0.60373,0.3125,0.588045,0,0,'build wind float'
0.269531,0.653361,0,0.92278,0.729604,0.045455,0.588045,0.211806,0.135135,headlamps
0.428385,0.453782,0.868597,0.389961,0.482517,0.3125,0.486268,0,0.756757,'build wind non-float'
0.321615,0.489496,0.797327,0.46332,0.573427,0.255682,0.449111,0,0,'build wind non-float'
0.398438,0.245798,0.723831,0.335907,0.7669,0.352273,0.560582,0,0.648649,'build wind non-float'
0.710938,0.457983,0.839644,0.19305,0.403263,0.073864,0.741519,0,0,'build wind float'
0.644531,0.630252,0.837416,0.111969,0.356643,0.0625,0.681745,0,0,'vehic wind float'
0.347656,0.443277,0.768374,0.567568,0.517483,0.340909,0.476575,0,0.459459,'vehic wind float'
0.375,0.514706,0.775056,0.548263,0.526807,0.352273,0.41357,0,0,'build wind non-float'
0.382813,0.781513,0,0.660232,0.643357,0,0.500808,0.552083,0.216216,headlamps
0.324219,0.352941,0.741648,0.46332,0.703963,0.380682,0.453958,0,0,'build wind non-float'
0.561849,0.470588,0,0.567568,0.645688,0.267045,0.951535,0,0,containers
0.442708,0.405462,0.659243,0.440154,0.620047,0.340909,0.542811,0.048611,0,'build wind non-float'
0.664714,0.42437,0.812918,0.223938,0.456876,0.107955,0.714055,0,0.459459,'build wind float'
0.46224,0.39916,0.832962,0.316602,0.470862,0.363636,0.570275,0,0.594595,'build wind non-float'
0.405599,0.495798,0.815145,0.34749,0.589744,0.323864,0.458805,0,0.297297,'build wind float'
0.285156,0.464286,0.777283,0.455598,0.69697,0.215909,0.420032,0,0,'build wind non-float'
0.298828,0.37605,0.783964,0.621622,0.606061,0.392045,0.410339,0,0,'build wind non-float'
0.359375,0.741597,0,0.65251,0.706294,0,0.499192,0.545139,0.189189,headlamps
0.361979,0.462185,0.788419,0.459459,0.601399,0.318182,0.431341,0,0,'build wind non-float'
0.311849,0.483193,0.786192,0.405405,0.561772,0.318182,0.468498,0,0,'vehic wind float'
0.353516,0.386555,0.792873,0.521236,0.671329,0.369318,0.41357,0,0,'build wind non-float'
0.45638,0.483193,0.743875,0.482625,0.438228,0.318182,0.575121,0,0,'vehic wind float'
0.334635,0.506303,0.804009,0.482625,0.496503,0.375,0.420032,0,0,'build wind non-float'
0.40625,0.413866,0.801782,0.413127,0.636364,0.323864,0.479806,0,0.297297,'build wind float'
0.286458,0.355042,0.770601,0.490347,0.685315,0.380682,0.429725,0,0.648649,'build wind float'
0.302734,0.369748,0.804009,0.513514,0.631702,0.363636,0.426494,0,0.702703,'build wind float'
0.389974,0.277311,0.605791,0.517375,0.608392,0.397727,0.613893,0,0,'build wind non-float'
0.345703,0.382353,0.781737,0.444015,0.641026,0.386364,0.452342,0.020833,0.675676,'build wind non-float'
0.18099,0.676471,0.688196,0.69112,0.470862,0.625,0.266559,0,0,'build wind non-float'
0.433594,0.359244,0.775056,0.409266,0.629371,0.363636,0.52504,0,0,'build wind float'
0.439453,0.413866,0.846325,0.305019,0.655012,0.318182,0.476575,0,0.324324,'build wind non-float'
0.322917,0.413866,0.797327,0.482625,0.599068,0.346591,0.421648,0,0,'build wind non-float'
0.298828,0.464286,0.743875,0.455598,0.662005,0.221591,0.450727,0,0,'build wind non-float'
0.522786,0.548319,0.788419,0.177606,0.55711,0.090909,0.558966,0.052083,0.648649,'vehic wind float'
0.40625,0.352941,0.761693,0.351351,0.685315,0.335227,0.518578,0,0,'build wind float'
0.413411,0.457983,0.821826,0.3861,0.547786,0.323864,0.450727,0,0,'build wind float'
0.42513,0.430672,0.777283,0.382239,0.606061,0.340909,0.494346,0,0,'build wind float'
0.68099,0.455882,0.819599,0.332046,0.58042,0.306818,0.499192,0,0,'build wind non-float'
0.404948,0.323529,0.772829,0.420849,0.729604,0.340909,0.504039,0,0.162162,'build wind float'
0.46875,0.455882,0.808463,0.301158,0.599068,0.323864,0.481422,0.03125,0.459459,'build wind non-float'
0.398438,0.476891,0.801782,0.328185,0.659674,0.329545,0.442649,0,0,'build wind float'
0.300781,0.432773,0.799555,0.474903,0.662005,0.380682,0.387722,0,0,'build wind non-float'
0.33138,0.701681,0,0.945946,0.60373,0,0.649435,0.1875,0,headlamps
0.393229,0.418067,0.788419,0.540541,0.575758,0.306818,0.486268,0,0.189189,'build wind float'
0.726563,0.804622,0.489978,0.683398,0,0.431818,0.699515,0,0,headlamps
0.630208,0.558824,0.799555,0.320463,0.39627,0.051136,0.641357,0,0,'build wind float'
0.415365,0.55042,0.815145,0.316602,0.585082,0.0625,0.512116,0,0,'vehic wind float'
0.465495,0.5,0.86637,0.401544,0.494172,0.289773,0.46042,0,0,'build wind non-float'
0.466797,0.548319,0.861915,0.378378,0.39627,0.306818,0.466882,0,0.864865,'build wind non-float'
0.503906,0.539916,0.806236,0.316602,0.554779,0.079545,0.537964,0,0,'build wind float'
0.283854,0.47479,0.768374,0.355212,0.578089,0.318182,0.50727,0,0,'build wind float'
0.704427,0.668067,0.85078,0.069498,0.351981,0.0625,0.668821,0,0,'build wind float'
0.774089,0.565126,0.828508,0.084942,0.347319,0.051136,0.747981,0,0.432432,'build wind float'
0.276693,0.596639,0,0.868726,0.692308,0.079545,0.642973,0.28125,0.027027,headlamps
0.517578,0.455882,0.741648,0.382239,0.48951,0.340909,0.599354,0,0.297297,'build wind float'
0.703125,0.663866,0.841871,0.239382,0.25641,0.130682,0.599354,0,1,'vehic wind float'
0.664714,0.42437,0.812918,0.223938,0.480186,0.107955,0.714055,0,0.459459,'build wind float'
0.454427,0.720588,0.498886,0.513514,0.494172,0,0.61874,0,0,tableware
